Date;Payment;left_budget;Category;campus_spendings
2025-03-12-08.29.10.866085;-120,00 TL;13.005,49 TL;Shopping;0
2025-03-11-22.37.52.768812;-80,00 TL;13.125,49 TL;Transportation;0
2025-03-11-17.20.57.012407;-130,00 TL;13.205,49 TL;Dining Out;1
2025-03-11-14.34.53.360283;-150,00 TL;13.335,49 TL;Coffee&Cafes;1
2025-03-11-11.29.13.051337;-70,00 TL;11.485,49 TL;Shopping;0
2025-03-11-10.28.53.155038;-189,00 TL;11.555,49 TL;Transportation;0
2025-03-10-22.19.41.417782;-50,00 TL;11.744,49 TL;Coffee&Cafes;1
2025-03-10-19.12.57.720642;-70,00 TL;11.794,49 TL;Coffee&Cafes;1
2025-03-10-18.29.33.732314;-100,00 TL;11.864,49 TL;Dining Out;1
2025-03-10-15.56.12.733829;-16,00 TL;11.964,49 TL;Groceries;1
2025-03-10-11.51.00.268486;-200,00 TL;11.580,49 TL;Coffee&Cafes;1
2025-03-09-20.08.18.936979;-390,00 TL;11.780,49 TL;Coffee&Cafes;0
2025-03-09-19.38.44.376309;-650,00 TL;12.170,49 TL;Dining Out;0
2025-03-09-18.33.36.345756;-315,00 TL;12.820,49 TL;Dining Out;1
2025-03-09-14.18.28.132327;-18,00 TL;13.135,49 TL;Coffee&Cafes;1
2025-03-09-14.17.56.681714;-220,00 TL;13.153,49 TL;Coffee&Cafes;1
2025-03-08-21.54.57.687467;-75,00 TL;13.373,49 TL;Coffee&Cafes;1
2025-03-08-18.20.26.541324;-150,00 TL;13.448,49 TL;Dining Out;1
2025-03-08-15.58.42.280880;-171,75 TL;13.598,49 TL;Transportation;0
2025-03-08-12.18.36.765004;-235,00 TL;13.770,24 TL;Dining Out;1
2025-03-07-20.05.56.372648;-120,00 TL;14.005,24 TL;Coffee&Cafes;1
2025-03-07-17.49.21.799962;-50,00 TL;14.125,24 TL;Coffee&Cafes;1
2025-03-07-17.48.50.275885;-80,00 TL;14.175,24 TL;Coffee&Cafes;1
2025-03-07-17.11.53.920118;-189,50 TL;14.255,24 TL;Dining Out;1
2025-03-07-11.44.15.879224;-205,00 TL;14.444,74 TL;Coffee&Cafes;1
2025-03-06-19.41.24.694027;-65,00 TL;14.736,74 TL;Coffee&Cafes;0
2025-03-06-17.41.06.764901;-215,00 TL;14.801,74 TL;Dining Out;1
2025-03-06-14.40.30.171412;-55,00 TL;15.016,74 TL;Dining Out;1
2025-03-05-12.31.05.903905;-65,00 TL;14.471,74 TL;Coffee&Cafes;1
2025-03-04-18.31.18.506821;-229,50 TL;14.536,74 TL;Dining Out;1
2025-03-04-15.36.29.881670;-125,00 TL;14.766,24 TL;Coffee&Cafes;1
2025-03-04-11.35.29.920410;-240,00 TL;14.891,24 TL;Coffee&Cafes;1
2025-03-03-19.38.44.374210;-120,00 TL;15.131,24 TL;Coffee&Cafes;1
2025-03-03-17.18.42.241624;-80,00 TL;15.251,24 TL;Dining Out;0
2025-03-03-16.57.33.529735;-50,00 TL;15.331,24 TL;Transportation;0
2025-03-03-12.38.34.232053;-140,00 TL;15.381,24 TL;Dining Out;1
2025-03-03-00.27.18.751652;-199,90 TL;15.521,24 TL;Entertainment Subscriptions;0
2025-03-02-17.17.44.296686;-200,00 TL;15.721,14 TL;Dining Out;1
2025-03-02-14.52.53.223568;-105,00 TL;15.921,14 TL;Coffee&Cafes;1
2025-03-02-13.53.29.678082;-50,00 TL;16.026,14 TL;Transportation;0
2025-03-02-00.57.27.428553;-102,50 TL;16.076,14 TL;Transportation;0
